"metabolites";"genes";"value"
"X1.linoleoyl.GPC..18.2.";"bhp";0.139714086122877
"X1.methylurate";"bhp";-0.137799321331492
"X1.methylxanthine";"bhp";-0.098972150331271
"beta.guanidinopropanoate";"bhp";0.14463544200344
"orotidine";"bhp";-0.0719998971430776
"X4.hydroxyhippurate";"bhp";-0.0320080800646666
"X5.6.dihydrouridine";"bhp";-0.00171625710967886
"X1.margaroylglycerol..17.0.";"bhp";-0.0247042864890215
"X1.pentadecanoylglycerol..15.0.";"bhp";-0.0155761245234474
"X1.arachidonylglycerol..20.4.";"bhp";-0.0131797976736862
"X1.linolenoylglycerol..18.3.";"bhp";0.00445713648980956
"X3.ketosphinganine";"bhp";0.155590079030919
"X5.methyluridine..ribothymidine.";"bhp";-0.154391915606039
"isovalerylglycine";"bhp";0.128545818869329
"X7.methylguanine";"bhp";0.0422074444406638
"X1.stearoyl.GPE..18.0.";"bhp";0.254524144685343
"X1.stearoyl.GPG..18.0.";"bhp";0.207453438707892
"X1.dihomo.linoleoylglycerol..20.2.";"bhp";-0.00893896630387575
"gamma.glutamylisoleucine.";"bhp";-0.167742879483279
"N.glycolylneuraminate";"bhp";0.137617627657711
"diacetylchitobiose";"bhp";-0.0395578828462766
"pantetheine";"bhp";-0.0814821159237905
"oleoylcarnitine..C18.1.";"bhp";-0.075141963360367
"X4.hydroxybutyrate..GHB.";"bhp";-0.339936080258972
"X1.palmitoleoyl.GPC...16.1..";"bhp";-0.241344347011657
"malonylcarnitine";"bhp";0.0866335533827959
"glutamine_degradant.";"bhp";0.140185120711026
"X2.hydroxy.3.methylvalerate";"bhp";-0.219092740549589
"X1.arachidonoyl.GPC...20.4..";"bhp";-0.170139206333041
"X2.palmitoyl.GPC...16.0..";"bhp";-0.311135803963131
"X1.palmitoyl.GPE..16.0.";"bhp";-0.0264318589707713
"X1.oleoyl.GPE..18.1.";"bhp";0.0734303013248233
"X1.linoleoyl.GPE..18.2..";"bhp";-0.0251614319224919
"X1.arachidonoyl.GPE..20.4n6..";"bhp";-0.0749497943940351
"N.acetylcitrulline";"bhp";-0.573279412595238
"gulonate.";"bhp";-0.0737726337319321
"isobutyrylglycine..C4.";"bhp";0.444176298223582
"beta.hydroxyisovaleroylcarnitine";"bhp";0.402869902744043
"X2.methylmalonylcarnitine..C4.DC.";"bhp";-0.0514393739877184
"cholesterol.sulfate";"bhp";0.1999221257515
"X7.HOCA";"bhp";-0.0601661193530098
"tetradecanedioate..C14.";"bhp";0.0720609716963884
"hexadecanedioate..C16.";"bhp";-0.126662990630231
"octadecanedioate..C18.";"bhp";-0.25127198681781
"X1.myristoylglycerol..14.0.";"bhp";0.111258032310338
"glycerophosphoglycerol";"bhp";0.20410051207908
"glycerophosphoethanolamine";"bhp";0.348836722843799
"glycerophosphoinositol.";"bhp";0.104924882778827
"X3..3.hydroxyphenyl.propionate";"bhp";0.0191706147980891
"sedoheptulose.7.phosphate";"bhp";-0.0309810828433404
"X1.palmitoyl.GPI...16.0.";"bhp";-0.389786584335666
"deoxycarnitine";"bhp";0.204543613247468
"X1.ribosyl.imidazoleacetate.";"bhp";-0.0104411384168164
"X1.stearoyl.GPA..18.0.";"bhp";-0.204372447043914
"N2.acetyllysine";"bhp";-0.181607341971183
"X3.4.dihydroxybutyrate";"bhp";-0.256064640517333
"N6.acetyllysine";"bhp";0.101142712653371
"mannitol.sorbitol";"bhp";-0.261085341306922
"N6.carboxymethyllysine";"bhp";-0.0249902657189375
"X1.oleoyl.GPI..18.1.";"bhp";-0.385979789015097
"glycylisoleucine";"bhp";0.132140309143971
