"root";"kingdom";"phylum";"class";"order";"family";"genus";"species";"abond34";"piglet";"group";"abund"
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"None";0.0179428119693544;"1";"Control";0.0150770286669971
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Clostridium";"uncultured Clostridium sp.";4.24424250051577e-05;"1";"Control";5.78520329072882e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"Hungatella";"Hungatella hathewayi";0.00031296675134238;"1";"Control";1.66543731096739e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Clostridiaceae";"None";"None";0.00106659659360788;"1";"Control";0.000440464341453217
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Eubacteriaceae";"Eubacterium";"None";0.000391577503743237;"1";"Control";0.000245871139855975
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Eubacteriales Family XIII. Incertae Sedis";"Hornefia";"Hornefia butyriciproducens";1.10719369578672e-05;"1";"Control";0.000283124342864456
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Eubacteriales Family XIII. Incertae Sedis";"Hornefia";"None";2.9156100655717e-05;"1";"Control";0.00075645915756045
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Eubacteriales Family XIII. Incertae Sedis";"Mogibacterium";"None";0.000254285485465684;"1";"Control";0.000819570466186582
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Anaerotignum";"None";2.84179715251925e-05;"1";"Control";5.65372139775771e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Blautia";"None";0.000251332968943586;"1";"Control";4.29507517038958e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Dorea";"Candidatus Dorea intestinavium";0;"1";"Control";0.00421267985079435
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Dorea";"None";2.32510676115212e-05;"1";"Control";0.00085244093942936
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Eisenbergiella";"None";9.63258515334448e-05;"1";"Control";0.000190648744808109
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Enterocloster";"Enterocloster clostridioformis";0.000556180299850197;"1";"Control";0.00142745508468968
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Enterocloster";"None";0.00501853995843595;"1";"Control";0.000500069466266786
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Faecalicatena";"Faecalicatena faecalis";2.21438739157344e-06;"1";"Control";0.00108779352784765
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Faecalicatena";"None";0;"1";"Control";0.000127537436181976
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Faecalimonas";"Faecalimonas umbilicata";2.21438739157344e-06;"1";"Control";9.20373250797766e-06
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Faecalimonas";"None";0.00019265170306689;"1";"Control";0.000237982226277708
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Lachnoclostridium";"None";0.0232067798636897;"1";"Control";0.00154885669919967
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Lachnoclostridium";"[Clostridium] scindens";0.000422947991790528;"1";"Control";0.000958502999759388
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Lachnoclostridium";"[Clostridium] symbiosum";2.47273258725701e-05;"1";"Control";0.000152957268823057
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Mediterraneibacter";"[Ruminococcus] gnavus";3.69064565262241e-06;"1";"Control";4.38272976570365e-06
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Niameybacter";"None";0.00436197409683442;"1";"Control";3.50618381256292e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"None";"Lachnospiraceae bacterium";0.000399696924179007;"1";"Control";0.000407155595233869
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"None";"None";0.018927476229474;"1";"Control";0.0307856086932321
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Roseburia";"None";0.000651398957687855;"1";"Control";0.0323651445007917
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Roseburia";"Roseburia inulinivorans";5.09309100061892e-05;"1";"Control";0.00102512049219808
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"Candidatus Limiplasma";"None";6.27409760945809e-06;"1";"Control";0.000131043619994539
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"Evtepia";"None";9.74330452292315e-05;"1";"Control";2.71729245473626e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"Flintibacter";"Flintibacter sp. KGMB00164";9.59567869681826e-06;"1";"Control";1.7969192039385e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"Flintibacter";"None";0.000286025038078237;"1";"Control";0.000730601051942798
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"Intestinimonas";"Intestinimonas butyriciproducens";0.00445645462554156;"1";"Control";0.00222686499395402
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"None";"Clostridiales bacterium";0.00538612826543714;"1";"Control";0.00432794564363235
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"None";"Eubacteriales bacterium";0.00496908530669081;"1";"Control";0.000435205065734372
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"None";"None";"None";0.112831157021103;"1";"Control";0.121465164091594
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Anaeromassilibacillus";"Anaeromassilibacillus sp. An172";6.53244280514166e-05;"1";"Control";5.5222395047866e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Anaerotruncus";"Anaerotruncus colihominis";0.000538834265282871;"1";"Control";3.37470191959181e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Angelakisella";"Angelakisella sp.";0.00319203942495312;"1";"Control";0.000884873139695567
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Faecalibacterium";"None";3.69064565262241e-05;"1";"Control";3.50618381256292e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Flavonifractor";"Flavonifractor plautii";0.000764701779223363;"1";"Control";4.38272976570365e-06
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Flavonifractor";"None";0.000661732765515198;"1";"Control";4.90865733758809e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"None";"None";0.0702001400230961;"1";"Control";0.0205642063336581
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"None";"Oscillospiraceae bacterium";0.0097311253922695;"1";"Control";0.00593684574062216
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"None";"Ruminococcaceae bacterium D16";5.86812658766963e-05;"1";"Control";8.7654595314073e-06
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Oscillibacter";"None";0.00112823037600667;"1";"Control";0.00140597970883773
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Oscillibacter";"Oscillibacter sp.";8.63611082713643e-05;"1";"Control";8.7654595314073e-07
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Ruminococcus";"None";0.000182317895239547;"1";"Control";0.000476402725531987
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Ruminococcus";"Ruminococcus sp.";1.21791306536539e-05;"1";"Control";7.97656817358064e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Ruminococcus";"Ruminococcus sp. CAG:382";0.00234060747289313;"1";"Control";0.000555730134291223
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Ruthenibacterium";"None";0.000751415454873922;"1";"Control";0.000102117603540895
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Oscillospiraceae";"Ruthenibacterium";"Ruthenibacterium lactatiformans";0.000191175444805841;"1";"Control";0.000121839887486561
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptococcaceae";"None";"Peptococcaceae bacterium";0;"1";"Control";0.000405840776304158
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Clostridioides";"Clostridioides difficile";0.000164602796106959;"1";"Control";0.000198537658386375
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Clostridioides";"None";5.9788459572483e-05;"1";"Control";0.000220013034238323
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"None";"None";7.89798169661195e-05;"1";"Control";0.000938342442837151
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Peptostreptococcus";"None";0.000637005439642627;"1";"Control";1.88457379925257e-05
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Peptostreptococcus";"Peptostreptococcus porci";0.000169400635455368;"1";"Control";9.20373250797766e-06
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Romboutsia";"None";0.00293480142296534;"1";"Control";0.00328836214320745
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Terrisporobacter";"None";0.000449889705054671;"1";"Control";0.00127800399967918
"root";"Bacteria";"Firmicutes";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Terrisporobacter";"Terrisporobacter othiniensis";0.000382350889611681;"1";"Control";0.000243241501996553
"root";"Bacteria";"Firmicutes";"Clostridia";"None";"None";"None";"Clostridia bacterium";0.000355040111782276;"1";"Control";0.000273482337379908
"root";"Bacteria";"Firmicutes";"Clostridia";"None";"None";"None";"None";0.00125518858645688;"1";"Control";0.00398477790297776
